bodyname; position x; position y; position z
saturn;-1.31522;-9.991;0.217391
uranus;-16.784;7.59073;0.242309
neptune;-9.62017;-28.8447;0.815065
sun;0.00443698;-0.00228722;-0.000128371
jupiter;2.97841;4.00379;-0.0839531
saturn;7.32865;-6.72879;-0.186641
uranus;-18.3785;0.323139;0.236858
neptune;-4.08384;-30.082;0.713018
sun;0.0113337;0.00102382;-0.000252503
jupiter;-5.12501;-1.93612;0.121966
saturn;9.04885;2.67739;-0.410751
uranus;-17.0954;-6.99573;0.194304
neptune;1.59635;-30.2607;0.585874
sun;0.00354278;-0.00153205;-8.70729e-05
jupiter;4.88847;-0.90412;-0.103874
saturn;1.24509;8.96369;-0.197422
